ID,Name,Types,Weaknesses,Evolution,HP,Attack,Defense,SpAttack,SpDefense,Speed,HeightM,WeightKg,Generation,Region,FirstLocation,Genus,Bio,Fact
001,Bulbasaur,"Grass,Poison","Fire,Ice,Flying,Psychic",002,45,49,49,65,65,45,0.7,6.9,Gen I,Kanto,Pallet Town (Red),Seed Pokémon,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.
002,Ivysaur,"Grass,Poison","Fire,Ice,Flying,Psychic",003,60,62,63,80,80,60,1.0,13.0,Gen I,Kanto,Friend Safari (X),Seed Pokémon,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
003,Venusaur,"Grass,Poison","Fire,Ice,Flying,Psychic",,80,82,83,100,100,80,2.0,100.0,Gen I,Kanto,Evolves from Ivysaur,Seed Pokémon,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
004,Charmander,Fire,"Water,Ground,Rock",005,39,52,43,60,50,65,0.6,8.5,Gen I,Kanto,Pallet Town (Red),Lizard Pokémon,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.","Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
005,Charmeleon,Fire,"Water,Ground,Rock",006,58,64,58,80,65,80,1.1,19.0,Gen I,Kanto,Friend Safari (X),Flame Pokémon,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","When it swings its burning tail, it elevates the temperature to unbearably high levels."
006,Charizard,"Fire,Flying","Water,Electric,Rock",,78,84,78,109,85,100,1.7,90.5,Gen I,Kanto,Route 1 (Lets Go Pikachu),Flame Pokémon,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
007,Squirtle,Water,"Electric,Grass",008,44,48,65,50,64,43,0.5,9.0,Gen I,Kanto,Pallet Town (Red),Tiny Turtle Pokémon,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.","After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
008,Wartortle,Water,"Electric,Grass",009,59,63,80,65,80,58,1.0,22.5,Gen I,Kanto,Friend Safari (X),Turtle Pokémon,It cleverly controls its furry ears and tail to maintain its balance while swimming.,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
009,Blastoise,Water,"Electric,Grass",,79,83,100,85,105,78,1.6,85.5,Gen I,Kanto,Evolves from Wartortle,Shellfish Pokémon,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,A brutal Pokémon with pressurized water jets on its shell. They are used for high speed tackles.
010,Caterpie,Bug,"Fire,Flying,Rock",011,45,30,35,20,20,45,0.3,2.9,Gen I,Kanto,Route 25 (Red),Worm Pokémon,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,"If you touch the feeler on top of its head, it will release a horrible stink to protect itself."
011,Metapod,Bug,"Fire,Flying,Rock",012,50,20,55,25,25,30,0.7,9.9,Gen I,Kanto,Route 25 (Red),Cocoon Pokémon,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack.","This Pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
012,Butterfree,"Bug,Flying","Fire,Electric,Ice,Flying,Rock",,60,45,50,90,80,70,1.1,32.0,Gen I,Kanto,Route 2 (Gold),Butterfly Pokémon,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
013,Weedle,"Bug,Poison","Fire,Flying,Psychic,Rock",014,40,35,30,20,20,50,0.3,3.2,Gen I,Kanto,Route 2 (Red),Hairy Bug Pokémon,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
014,Kakuna,"Bug,Poison","Fire,Flying,Psychic,Rock",015,45,25,50,25,25,35,0.6,10.0,Gen I,Kanto,Route 24 (Red),Cocoon Pokémon,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.","Almost incapable of moving, this Pokémon can only harden its shell to protect itself from predators."
015,Beedrill,"Bug,Poison","Fire,Flying,Psychic,Rock",,65,90,40,45,80,75,1.0,29.5,Gen I,Kanto,Route 2 (Silver),Poison Bee Pokémon,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.
016,Pidgey,"Normal,Flying","Electric,Ice,Rock",017,40,45,40,35,35,56,0.3,1.8,Gen I,Kanto,Route 1 (Red),Tiny Bird Pokémon,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
017,Pidgeotto,"Normal,Flying","Electric,Ice,Rock",018,63,60,55,50,50,71,1.1,30.0,Gen I,Kanto,Route 14 (Red),Bird Pokémon,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,"Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder."
018,Pidgeot,"Normal,Flying","Electric,Ice,Rock",,83,80,75,70,70,101,1.5,39.5,Gen I,Kanto,Route 10 (Ultra Sun),Bird Pokémon,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.","When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
019,Rattata,Normal,Fighting,020,30,56,35,25,35,72,0.3,3.5,Gen I,Kanto,Route 1 (Red),Mouse Pokémon,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.","Bites anything when it attacks. Small and very quick, it is a common sight in many places."
020,Raticate,Normal,Fighting,,55,81,60,50,70,97,0.7,18.5,Gen I,Kanto,Route 16 (Red),Mouse Pokémon,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.
021,Spearow,"Normal,Flying","Electric,Ice,Rock",022,40,60,30,31,31,70,0.3,2.0,Gen I,Kanto,Route 3 (Red),Tiny Bird Pokémon,"Inept at flying high. However, it can fly around very fast to protect its territory.",Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
022,Fearow,"Normal,Flying","Electric,Ice,Rock",,65,90,65,61,61,100,1.2,38.0,Gen I,Kanto,Route 17 (Red),Beak Pokémon,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.","With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
023,Ekans,Poison,"Ground,Psychic",024,35,60,44,40,54,55,2.0,6.9,Gen I,Kanto,Route 4 (Red),Snake Pokémon,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.","Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
024,Arbok,Poison,"Ground,Psychic",,60,95,69,65,79,80,3.5,65.0,Gen I,Kanto,Route 23 (Red),Cobra Pokémon,The frightening patterns on its belly have been studied. Six variations have been confirmed.,It is rumored that the ferocious warning markings on its belly differ from area to area.
025,Pikachu,Electric,Ground,026,35,55,40,50,50,90,0.4,6.0,Gen I,Kanto,Viridian Forest (Red),Mouse Pokémon,Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.,"When several of these Pokémon gather, their electricity could build and cause lightning storms."
026,Raichu,Electric,Ground,,60,90,55,90,80,110,0.8,30.0,Gen I,Kanto,Cerulean Cave (Red),Mouse Pokémon,"It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate one of the Copperajah of my homeland.",Its long tail serves as a ground to protect itself from its own high voltage power.
027,Sandshrew,Ground,"Water,Grass,Ice",028,50,75,85,20,30,40,0.6,12.0,Gen I,Kanto,Route 4 (Blue),Mouse Pokémon,"It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging.",Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
028,Sandslash,Ground,"Water,Grass,Ice",,75,100,110,45,55,65,1.0,29.5,Gen I,Kanto,Route 23 (Blue),Mouse Pokémon,"It climbs trees by hooking on with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew waiting below the tree.",Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
029,Nidoran♀,Poison,"Ground,Psychic",030,55,47,52,40,40,41,0.4,7.0,Gen I,Kanto,Route 22 (Red),Poison Pin Pokémon,It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.,"Although small, its venomous barbs render this Pokémon dangerous. The female has smaller horns."
030,Nidorina,Poison,"Ground,Psychic",031,70,62,67,55,55,56,0.8,20.0,Gen I,Kanto,Safari Zone (Red),Poison Pin Pokémon,"If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves.",The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
031,Nidoqueen,"Poison,Ground","Water,Ice,Ground,Psychic",,90,92,87,75,85,76,1.3,60.0,Gen I,Kanto,Route 23 (Lets Go Pikachu),Drill Pokémon,It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
032,Nidoran♂,Poison,"Ground,Psychic",033,46,57,40,40,40,50,0.5,9.0,Gen I,Kanto,Route 22 (Red),Poison Pin Pokémon,"Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with.","Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
033,Nidorino,Poison,"Ground,Psychic",034,61,72,57,55,55,65,0.9,19.5,Gen I,Kanto,Safari Zone (Red),Poison Pin Pokémon,It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.,An aggressive Pokémon that is quick to attack. The horn on its head secretes a powerful venom.
